               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.019296,            0.011657,           0.0046921,             0.90541,             0.91177,             0.96407,               0.776,           0.0078066,           0.0037368,           0.0015611,           0.0095784,           0.0095784,           0.0095784
                 127,            0.020819,            0.011812,           0.0049941,             0.87067,             0.91927,             0.95589,             0.78213,           0.0078327,           0.0035879,           0.0045368,           0.0095717,           0.0095717,           0.0095717
                 128,            0.019425,            0.011205,           0.0038748,             0.90282,             0.90603,             0.96094,             0.75478,           0.0087689,           0.0039599,           0.0031639,            0.009565,            0.009565,            0.009565
                 129,            0.019859,            0.011764,           0.0036409,               0.903,             0.86513,             0.92492,             0.68083,            0.011051,           0.0044866,            0.003868,           0.0095582,           0.0095582,           0.0095582
                 130,             0.02043,            0.011884,           0.0041604,             0.90666,             0.90607,             0.95232,             0.77591,           0.0073369,           0.0037055,           0.0029221,           0.0095514,           0.0095514,           0.0095514
                 131,            0.020709,            0.012485,           0.0057892,             0.85315,             0.78816,             0.86862,             0.64466,            0.010575,           0.0049774,           0.0051005,           0.0095446,           0.0095446,           0.0095446
                 132,            0.019192,            0.012304,            0.006314,             0.89395,             0.88062,             0.93136,             0.72759,           0.0091946,           0.0042333,           0.0039428,           0.0095377,           0.0095377,           0.0095377
                 133,            0.019371,            0.012418,           0.0052488,             0.89795,             0.87172,             0.92504,             0.68379,           0.0091769,           0.0044506,            0.003624,           0.0095307,           0.0095307,           0.0095307
                 134,            0.023502,             0.01264,            0.008123,             0.88621,             0.84614,             0.92999,             0.74371,            0.007514,            0.003928,           0.0056544,           0.0095237,           0.0095237,           0.0095237
                 135,            0.020104,            0.012386,           0.0044676,             0.84282,             0.87128,             0.92526,             0.72034,              0.0087,           0.0039687,           0.0047884,           0.0095166,           0.0095166,           0.0095166
                 136,            0.017839,            0.011491,            0.004717,             0.88936,             0.88645,             0.94042,             0.77594,           0.0080981,           0.0037587,            0.005435,           0.0095095,           0.0095095,           0.0095095
                 137,            0.019652,            0.011596,           0.0043375,             0.85488,             0.94781,             0.95295,             0.77979,           0.0081808,           0.0036132,           0.0041544,           0.0095024,           0.0095024,           0.0095024
                 138,            0.019752,            0.011085,           0.0040269,              0.8858,             0.91694,              0.9502,             0.77608,           0.0083947,            0.003938,           0.0041071,           0.0094952,           0.0094952,           0.0094952
                 139,            0.020194,            0.011521,           0.0042402,             0.87014,             0.87701,             0.93889,             0.77015,           0.0085541,           0.0037444,           0.0037804,           0.0094879,           0.0094879,           0.0094879
                 140,            0.018669,            0.011423,           0.0032094,             0.86455,             0.91398,             0.94964,             0.79031,           0.0072446,            0.003664,            0.004804,           0.0094806,           0.0094806,           0.0094806
                 141,            0.019942,            0.011292,           0.0033241,             0.88314,             0.84287,             0.91978,             0.68576,            0.011159,           0.0044859,           0.0036781,           0.0094733,           0.0094733,           0.0094733
                 142,            0.019346,              0.0113,            0.002935,             0.93185,             0.89675,             0.96829,             0.79719,           0.0074649,           0.0037285,            0.002513,           0.0094659,           0.0094659,           0.0094659
                 143,            0.019888,            0.011975,           0.0037466,              0.8826,             0.91871,             0.96185,             0.79843,           0.0073929,           0.0036098,           0.0031112,           0.0094584,           0.0094584,           0.0094584
                 144,            0.019776,            0.011812,           0.0037881,             0.90926,              0.9339,             0.96407,             0.78465,           0.0077156,            0.003741,           0.0020103,           0.0094509,           0.0094509,           0.0094509
                 145,             0.01737,            0.011362,           0.0035553,              0.8792,             0.94246,             0.96357,             0.79195,           0.0078749,            0.003809,           0.0021842,           0.0094434,           0.0094434,           0.0094434
                 146,            0.018097,            0.010709,            0.003094,             0.89554,             0.95307,             0.96273,             0.78569,           0.0078704,           0.0037085,           0.0025237,           0.0094358,           0.0094358,           0.0094358
                 147,            0.021044,            0.011152,           0.0063418,             0.89095,             0.89867,             0.93405,              0.6994,           0.0093173,           0.0040888,           0.0042534,           0.0094281,           0.0094281,           0.0094281
